agent,repository,skill,source,status,applicability,expected_benefit,privilege_level,risk,recommendation,rollout_wave
flyer-studio,sme-agents,org/print-dimension-validation,PROPOSED,n/a,CUSTOM_SKILL_NEEDED,"Aspect ratio / bleed / DPI validation",read-only,LOW,"Author; deterministic assertions",4
expense-bookkeeper,sme-agents,parse_receipt_photo,local-installed,enabled,CURRENT_AND_USEFUL,Existing OCR/extraction path,read-only,MED,Keep,1
ops-workflows,sme-agents,org/incident-evidence-report,PROPOSED,n/a,CUSTOM_SKILL_NEEDED,"Interpret watchdog/timer failures and produce an operator-facing evidence report",read-only,LOW,"Author — consolidates ~8 timers' indirect need into ONE skill",3
ops-workflows,sme-agents,webhook-subscriptions,local-installed,enabled,CURRENT_BUT_UNDERUSED,Event plumbing for ops notifications,read-write,MED,Evaluate,3
all-agents,fleet,godmode,local-installed,enabled,QUARANTINE,"Jailbreak skill enabled on customer-facing production host; zero value to this fleet",script-bearing,MED,"Disable on main-vps and vpin-vps",0
all-agents,fleet,pokemon-player,official-installed,enabled,NOT_APPLICABLE,Routing-surface noise,n/a,LOW,Disable on production hosts,0
all-agents,fleet,minecraft-modpack-server,official-installed,enabled,NOT_APPLICABLE,Routing-surface noise,n/a,LOW,Disable on production hosts,0
all-agents,fleet,spotify,local-installed,enabled,NOT_APPLICABLE,Routing-surface noise,credentialed,LOW,Disable on production hosts,0
all-agents,fleet,heartmula,local-installed,enabled,NOT_APPLICABLE,Routing-surface noise,unknown,LOW,"Inspect then disable on production hosts",0
gecko-agents,gecko-alpha,rest-graphql-debug,official-installed,enabled,QUARANTINE,"Ruling of record is QUARANTINED_REFERENCE_ONLY; state does not match. 0 scripts so low material risk",prose-only,LOW,"Gecko-owned: set state to match ruling",0
gecko-agents,gecko-alpha,solana,official-installed,enabled,REFERENCE_ONLY,"Approved only via guarded gecko-solana-verify; wrapper present, enforcement unproven",script-bearing network,MED,"Gecko-owned: prove no unguarded path",0
gecko-agents,gecko-alpha,evm,official-installed,enabled,REFERENCE_ONLY,"Not trusted for authorization or pre-sign validation",script-bearing network,MED,"Gecko-owned: confirm no authz path reaches it",0
vizora-agents,vizora,vizora-customer-lifecycle,local-installed,enabled,CURRENT_AND_USEFUL,Existing Vizora domain skill,unknown,LOW,"Out of scope for this engagement; inventory only",4
vizora-agents,vizora,vizora-shadow-operations,local-installed,enabled,CURRENT_AND_USEFUL,Existing Vizora domain skill,unknown,LOW,"Out of scope for this engagement; inventory only",4
registered-inactive-dispatchers,sme-agents,"cash_ar/employee_docs/equipment_maintenance/hiring/inventory/pnl_anomaly/sales_tax/supplier/vip dispatchers",local-installed,enabled,STALE,"Registered and enabled but no evidence of live use; each adds routing surface",read-only,MED,"Audit for use; disable those confirmed dormant",0
deterministic-timers,sme-agents,"(all systemd timers and cron watchdogs)",n/a,n/a,NOT_APPLICABLE,"Deterministic checks must not be LLM-mediated",n/a,n/a,"No direct skill; indirect value routed to org/incident-evidence-report",n/a
